d_sh_empl,d_sh_empl_mfg,d_sh_empl_nmfg,shock,IV,weights,statefip,czone,t2,l_shind_manuf_cbp,l_sh_popedu_c,l_sh_popfborn,l_sh_empl_f,l_sh_routine33,l_task_outsource,division
0.15873909,-3.8059785,3.9647162,5.29378633866603,2.2788275965015,0.0021135223,47,100,FALSE,39.787476,33.884003,1.0654762,57.659035,31.322742,-0.17480724,6
2.5353551,-0.68144798,3.2168031,3.03047916643889,2.79773471223084,7.3169981e-4,47,200,FALSE,42.233002,31.591215,0.96523958,57.389729,29.615757,-0.13212615,6
-3.1240821,-2.1658003,-0.95828176,2.06259635167653,0.7209086374351,2.6079992e-4,47,301,FALSE,33.025658,26.137537,0.75283122,46.720547,28.812309,-0.42793658,6
0.41651726,-2.8290875,3.245604,1.07830849762657,1.4521378654168,0.0025694722,47,302,FALSE,21.304695,42.284462,1.9097531,60.616653,30.025017,0.11003062,6
-1.6340435,-5.0376801,3.4036398,1.0160847787978,1.33383259999764,0.0017144891,37,401,FALSE,32.28297,45.108311,2.1576035,68.670624,32.357979,0.069053248,5
-5.2133141,-9.8819618,4.668653,3.27667141380185,1.85419345808218,3.6491992e-4,51,402,FALSE,61.819672,30.795652,0.75068164,67.400124,34.086479,0.4281306,5
-3.558588,-7.2583199,3.6997318,2.05050014471393,1.10781382525301,0.0036667995,37,500,FALSE,39.256943,41.532318,1.7985085,70.993492,34.99752,0.32101837,5
1.1491358,-1.3298676,2.4790049,2.57285269813057,3.70039447045002,3.3063622e-4,37,601,FALSE,47.761593,38.801243,1.2400911,62.235664,29.136065,-0.077072069000000007,5
-4.9518824,-7.7885256,2.8366418,4.30258311577138,4.17761776229892,2.3671357e-4,51,602,FALSE,56.379272,32.688431,1.0558939,60.466503,29.804928,6.4930879e-4,5
-3.3117592,-6.5283136,3.2165587,0.945886281670405,1.3601246557803,0.0012799399,45,700,FALSE,39.775974,34.988693,1.8649111,65.710342,33.341354,-0.014484944,5
-4.5164051,-8.5912914,4.0748863,1.46638849262402,1.08408414058798,0.0014763501,37,800,FALSE,51.065666,35.636215,1.4137576,69.234764,37.747578,0.092378631,5
-1.6947746,-4.8714476,3.1766713,0.836801808320326,1.00152961024661,0.0044559706,37,900,FALSE,25.570892,47.969616,3.2966454,69.56385,33.003139,0.34716621,5
-1.0249853,-7.5703816,6.5453949,2.01136046798101,1.72491676503995,2.6604556e-4,37,1001,FALSE,17.887592,36.070457,1.0931907,61.021042,30.017387,-0.11160477,5
